model,quantization,num_claims,empty_claims,num_tokens,topic,cat,f1@median
llama3.1_70b,awq-int4,33,False,379,Minako Honda,medium,0.1842105263157895
llama3.1_70b,awq-int4,58,False,640,Mark Murphy (singer),medium,0.3564356435643564
llama3.1_70b,awq-int4,41,False,478,Jeff Long (athletic director),medium,0.33333333333333337
llama3.1_70b,awq-int4,38,False,470,Rana Sanaullah,medium,0.09876543209876543
llama3.1_70b,awq-int4,0,True,0,Ki Fitzgerald,medium,0.0
llama3.1_70b,awq-int4,32,False,345,James Tyrrell,medium,0.05333333333333333
llama3.1_70b,awq-int4,31,False,303,Roman Pavlyuchenko,medium,0.32432432432432434
llama3.1_70b,awq-int4,48,False,474,Jefferson Thomas,medium,0.43956043956043955
llama3.1_70b,awq-int4,43,False,394,Ryan Brasier,medium,0.4186046511627907
llama3.1_70b,awq-int4,58,False,534,Bhāskara I,medium,0.49504950495049505
llama3.1_70b,awq-int4,29,False,303,Blanca Errázuriz,medium,0.05555555555555555
llama3.1_70b,awq-int4,31,False,243,Cierre Wood,medium,0.24324324324324326
llama3.1_70b,awq-int4,25,False,309,Josh Mansour,medium,0.2647058823529412
llama3.1_70b,awq-int4,7,False,51,Rosaline Elbay,medium,0.04
llama3.1_70b,awq-int4,34,False,345,Lennie Hayton,medium,0.15584415584415584
llama3.1_70b,awq-int4,57,False,676,André Le Nôtre,medium,0.6799999999999999
llama3.1_70b,awq-int4,0,True,0,Tom Buk-Swienty,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Édgar Iván López,very rare,0.0
llama3.1_70b,awq-int4,26,False,358,Profit (gamer),very rare,0.028985507246376812
llama3.1_70b,awq-int4,24,False,283,Patrick Merrill,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Abdelhamid Shabana,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Richie Dorman,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Nuh Omar,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Leo Kokubo,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Tappaya Sit-Or,very rare,0.0
llama3.1_70b,awq-int4,16,False,173,Ariel Behar,very rare,0.10169491525423728
llama3.1_70b,awq-int4,0,True,0,Pablo Ganet,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Avraham Eilam-Amzallag,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Nancy Onyango,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Worranit Thawornwong,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Rory Tapner,very rare,0.0
llama3.1_70b,awq-int4,0,True,0,Jessie Mae Brown Beavers,very rare,0.0
llama3.1_70b,awq-int4,45,False,384,Jackie Shroff,very freq,0.6363636363636364
llama3.1_70b,awq-int4,37,False,421,Katherine Ryan,very freq,0.275
llama3.1_70b,awq-int4,57,False,570,Joel Edgerton,very freq,0.37999999999999995
llama3.1_70b,awq-int4,59,False,655,Lionel Messi,very freq,0.8431372549019608
llama3.1_70b,awq-int4,81,False,752,Jacques Cousteau,very freq,0.8
llama3.1_70b,awq-int4,81,False,842,Winston Churchill,very freq,0.8979591836734693
llama3.1_70b,awq-int4,74,False,813,James Franco,very freq,0.7666666666666667
llama3.1_70b,awq-int4,57,False,612,Jean-Claude Van Damme,very freq,0.6399999999999999
llama3.1_70b,awq-int4,46,False,604,Amelia Earhart,very freq,0.651685393258427
llama3.1_70b,awq-int4,51,False,552,Matthew Perry,very freq,0.7446808510638299
llama3.1_70b,awq-int4,41,False,404,Thierry Henry,very freq,0.5714285714285714
llama3.1_70b,awq-int4,49,False,490,Chris Cuomo,very freq,0.45652173913043476
llama3.1_70b,awq-int4,54,False,579,George VI,very freq,0.597938144329897
llama3.1_70b,awq-int4,71,False,720,Marcus Aurelius,very freq,0.7368421052631579
llama3.1_70b,awq-int4,54,False,607,Radhika Apte,very freq,0.577319587628866
llama3.1_70b,awq-int4,67,False,782,Jeremy Corbyn,very freq,0.7272727272727273
llama3.1_70b,awq-int4,47,False,535,Rachel Weisz,very freq,0.5777777777777778
llama3.1_70b,awq-int4,21,False,210,Ahn Jae-hyun,very freq,0.40625
llama3.1_70b,bf16,26,False,279,Minako Honda,medium,0.4057971014492754
llama3.1_70b,bf16,44,False,378,Mark Murphy (singer),medium,0.45977011494252873
llama3.1_70b,bf16,49,False,675,Jeff Long (athletic director),medium,0.08695652173913043
llama3.1_70b,bf16,31,False,392,Rana Sanaullah,medium,0.08108108108108109
llama3.1_70b,bf16,0,True,0,Ki Fitzgerald,medium,0.0
