model_family,bf16_behavior,awq-int4_quant_rate,bnb-int4_quant_rate,fp8_quant_rate,gptq-int4_quant_rate,gptq-int8_quant_rate,rate
llama3.1_70b,bf16_abstained,0.9655172413793104,1.0,0.9655172413793104,0.9655172413793104,1.0,0.29
llama3.1_70b,bf16_empty,0.9655172413793104,1.0,0.9655172413793104,1.0,1.0,0.29
llama3.1_70b,bf16_nonempty,0.9577464788732395,0.676056338028169,0.971830985915493,0.8450704225352113,0.9859154929577465,0.71
llama3.1_70b,bf16_not_abstained,0.9577464788732395,0.676056338028169,0.971830985915493,0.8450704225352113,0.9859154929577465,0.71
llama3.1_8b,bf16_abstained,1.0,1.0,0.9761904761904762,0.9047619047619048,1.0,0.42
llama3.1_8b,bf16_empty,1.0,1.0,0.9761904761904762,0.9047619047619048,1.0,0.42
llama3.1_8b,bf16_nonempty,0.9137931034482758,0.8793103448275862,1.0,0.9137931034482758,0.9482758620689655,0.58
llama3.1_8b,bf16_not_abstained,0.9137931034482758,0.8793103448275862,1.0,0.9137931034482758,0.9482758620689655,0.58
qwen2.5_32b,bf16_abstained,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.8333333333333334,0.12
qwen2.5_32b,bf16_empty,0.6,0.8666666666666667,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.15
qwen2.5_32b,bf16_nonempty,0.9882352941176471,0.9294117647058824,0.9647058823529412,0.9058823529411765,0.9882352941176471,0.85
qwen2.5_32b,bf16_not_abstained,0.9886363636363636,0.9090909090909091,0.9659090909090909,0.9431818181818182,1.0,0.88
qwen2.5_72b,bf16_abstained,1.0,1.0,1.0,1.0,1.0,0.02
qwen2.5_72b,bf16_empty,0.875,0.625,0.75,0.625,1.0,0.08
qwen2.5_72b,bf16_nonempty,0.9782608695652174,0.9782608695652174,0.9891304347826086,0.967391304347826,1.0,0.92
qwen2.5_72b,bf16_not_abstained,0.9897959183673469,1.0,1.0,1.0,1.0,0.98
qwen2.5_7b,bf16_abstained,1.0,0.0,0.0,1.0,1.0,0.02
qwen2.5_7b,bf16_empty,0.9736842105263158,0.7894736842105263,0.9473684210526315,0.8947368421052632,0.9210526315789473,0.38
qwen2.5_7b,bf16_nonempty,0.8387096774193549,0.8387096774193549,0.9838709677419355,0.8548387096774194,1.0,0.62
qwen2.5_7b,bf16_not_abstained,0.5510204081632653,1.0,0.9897959183673469,0.6326530612244898,1.0,0.98
