model_short_name,avg_acc,none_rate,processed,language,task,context_length,base_model,quantization,num_bits
llama3.1_70b_awq-int4,0.94,0.94,50,cs,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,da,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,de,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,en,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.96,0.96,50,es,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,fa,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,fi,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,fr,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.7,0.7,50,hi,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,hu,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,it,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.72,0.72,50,ja,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.36,0.36,50,ko,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,nl,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,no,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,pl,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,pt,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,ru,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.9,0.9,50,sr,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.88,0.88,50,st,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,sv,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.78,0.78,50,sw,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.86,0.86,50,ta,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.98,0.98,50,uk,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.86,0.86,50,vi,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_awq-int4,0.58,0.58,50,zh,niah_none,8000,llama3.1_70b,awq-int4,4
llama3.1_70b_bf16,0.94,0.94,50,cs,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,da,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,de,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,en,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.96,0.96,50,es,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,fa,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,fi,niah_none,8000,llama3.1_70b,bf16,16
llama3.1_70b_bf16,0.98,0.98,50,fr,niah_none,8000,llama3.1_70b,bf16,16
